Ticker,Name
^BSESN,S&P BSE SENSEX
^NSEI,NIFTY 50
1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L
20MICRONS.BO,20 MICRONS LTD.
20MICRONS.NS,20 Microns Limited
21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT
3IINFOTECH.BO,3I INFOTECH LTD.
3IINFOTECH.NS,3i Infotech Limited
3MINDIA.BO,3M INDIA LTD.
3MINDIA.NS,3M India Limited
3RDROCK.NS,3rd Rock Multimedia Limited
4THGEN.BO,FOURTH GENERATION INFORMATION
7TEC.BO,Saven Technologies Limited
A2ZINFRA.BO,A2Z INFRA ENGINEERING LIMITED
A2ZINFRA.NS,A2Z Infra Engineering Limited
AANANDALAK.BO,Aananda Lakshmi Spinning Mills
AANCHALISP.BO,Aanchal Ispat Limited
AARTIDRUGS.BO,AARTI DRUGS LTD.
AARTIDRUGS.NS,Aarti Drugs Limited
AARTIIND.BO,AARTI INDUSTRIES LTD.
AARTIIND.NS,Aarti Industries Limited
AARVEEDEN.BO,AARVEE DENIMS & EXPORTS LTD.
AARVEEDEN.NS,Aarvee Denims and Exports Limited
AAYUSH.BO,Aayush Food And Herbs Limited
ABAN.BO,ABAN OFFSHORE LTD.
ABAN.NS,Aban Offshore Limited
ABB.BO,ABB India Limited
ABB.NS,ABB India Limited
ABBOTINDIA.BO,ABBOTT INDIA LTD.
ABBOTINDIA.NS,Abbott India Limited
ABCGAS.BO,ABC Gas (International) Ltd.
ABCINDQ.BO,ABC India Limited
ABFRL.BO,Aditya Birla Fashion and Retai
ABFRL.NS,Aditya Birla Fashion and Retail Limited
ABHICAP.BO,Abhinav Capital Services Ltd
ABHIFIN.BO,Abhishek Finlease limited
ABHIINFRA.BO,Abhishek Infraventures Limited
ABHIJIT.BO,Abhijit Trading Co. Ltd.
ABHISHEK.NS,Abhishek Corporation Ltd
ABIRAFN.BO,Abirami Financial Services India Ltd
ABMKNO.BO,ABM Knowledgeware Limited
ACC.BO,ACC Limited
ACC.NS,ACC Limited
ACCEL.BO,Accel Transmatic Ltd.
ACCELYA.BO,ACCELYA KALE SOLUTIONS LIMITD
